# of genes	# of total genes	Log of odds ratio	P-value	Adjusted p-value	GO term ID	Go term name
14	130	0.89321	0.00000	<0.00050	GO:0016614	oxidoreductase activity, acting on CH-OH group of donors
10	93	0.89239	0.00000	0.00950	GO:0003014	renal system process
10	93	0.89239	0.00000	0.00950	GO:0004725	protein tyrosine phosphatase activity
9	84	0.89135	0.00001	0.02850	GO:0044853	plasma membrane raft
12	112	0.89025	0.00000	0.00150	GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
37	365	0.88721	0.00000	<0.00050	GO:0004674	protein serine/threonine kinase activity
10	94	0.88720	0.00000	0.01000	GO:0051591	response to cAMP
24	230	0.88581	0.00000	<0.00050	GO:0009895	negative regulation of catabolic process
9	85	0.88562	0.00001	0.02900	GO:0044259	multicellular organismal macromolecule metabolic process
17	161	0.88528	0.00000	<0.00050	GO:0031348	negative regulation of defense response
28	273	0.88180	0.00000	<0.00050	GO:0048511	rhythmic process
12	114	0.88165	0.00000	0.00150	GO:0019903	protein phosphatase binding
23	222	0.88128	0.00000	<0.00050	GO:1903522	regulation of blood circulation
54	566	0.88116	0.00000	<0.00050	GO:0004672	protein kinase activity
21	202	0.88100	0.00000	<0.00050	GO:0002791	regulation of peptide secretion
21	202	0.88100	0.00000	<0.00050	GO:0032846	positive regulation of homeostatic process
78	888	0.87815	0.00000	<0.00050	GO:1902533	positive regulation of intracellular signal transduction
12	115	0.87741	0.00000	0.00150	GO:0043204	perikaryon
12	115	0.87741	0.00000	0.00150	GO:0048871	multicellular organismal homeostasis
21	205	0.87381	0.00000	<0.00050	GO:0051480	cytosolic calcium ion homeostasis
20	195	0.87350	0.00000	<0.00050	GO:0032872	regulation of stress-activated MAPK cascade
12	116	0.87320	0.00000	0.00150	GO:0045471	response to ethanol
12	116	0.87320	0.00000	0.00150	GO:0061041	regulation of wound healing
42	433	0.87223	0.00000	<0.00050	GO:0032844	regulation of homeostatic process
13	126	0.87205	0.00000	0.00150	GO:0046683	response to organophosphorus
21	206	0.87144	0.00000	<0.00050	GO:0051054	positive regulation of DNA metabolic process
20	196	0.87101	0.00000	<0.00050	GO:0070302	regulation of stress-activated protein kinase signaling cascade
16	156	0.87047	0.00000	<0.00050	GO:0019902	phosphatase binding
18	176	0.87046	0.00000	<0.00050	GO:0007204	positive regulation of cytosolic calcium ion concentration
9	88	0.86884	0.00001	0.03800	GO:0035258	steroid hormone receptor binding
20	197	0.86853	0.00000	<0.00050	GO:0090276	regulation of peptide hormone secretion
13	127	0.86822	0.00000	0.00150	GO:0003013	circulatory system process
13	127	0.86822	0.00000	0.00150	GO:0045931	positive regulation of mitotic cell cycle
33	335	0.86806	0.00000	<0.00050	GO:0006979	response to oxidative stress
35	358	0.86687	0.00000	<0.00050	GO:0019216	regulation of lipid metabolic process
29	293	0.86555	0.00000	<0.00050	GO:0006874	cellular calcium ion homeostasis
35	359	0.86551	0.00000	<0.00050	GO:0048545	response to steroid hormone
9	89	0.86338	0.00001	0.04700	GO:0043112	receptor metabolic process
13	129	0.86065	0.00000	0.00150	GO:0007623	circadian rhythm
17	170	0.85882	0.00000	<0.00050	GO:0030522	intracellular receptor signaling pathway
12	120	0.85679	0.00000	0.00150	GO:0046165	alcohol biosynthetic process
23	234	0.85562	0.00000	<0.00050	GO:0007611	learning or memory
17	172	0.85315	0.00000	<0.00050	GO:1903035	negative regulation of response to wounding
15	152	0.85122	0.00000	<0.00050	GO:0031960	response to corticosteroid
14	142	0.85034	0.00000	0.00150	GO:0014074	response to purine-containing compound
75	895	0.84975	0.00000	<0.00050	GO:0007186	G-protein coupled receptor signaling pathway
24	248	0.84908	0.00000	<0.00050	GO:0090087	regulation of peptide transport
40	430	0.84905	0.00000	<0.00050	GO:1903034	regulation of response to wounding
18	184	0.84888	0.00000	<0.00050	GO:0043627	response to estrogen
29	304	0.84759	0.00000	<0.00050	GO:0055074	calcium ion homeostasis
29	304	0.84759	0.00000	<0.00050	GO:0072503	cellular divalent inorganic cation homeostasis
43	469	0.84598	0.00000	<0.00050	GO:0045860	positive regulation of protein kinase activity
95	1225	0.84558	0.00000	<0.00050	GO:1901700	response to oxygen-containing compound
17	175	0.84478	0.00000	<0.00050	GO:0009611	response to wounding
64	746	0.84387	0.00000	<0.00050	GO:0014070	response to organic cyclic compound
31	330	0.84246	0.00000	<0.00050	GO:0097305	response to alcohol
26	274	0.84164	0.00000	<0.00050	GO:0006631	fatty acid metabolic process
45	500	0.83964	0.00000	<0.00050	GO:0033674	positive regulation of kinase activity
15	156	0.83867	0.00000	<0.00050	GO:0046328	regulation of JNK cascade
20	210	0.83751	0.00000	<0.00050	GO:0032409	regulation of transporter activity
12	125	0.83711	0.00000	0.00150	GO:0010634	positive regulation of epithelial cell migration
12	125	0.83711	0.00000	0.00150	GO:0071219	cellular response to molecule of bacterial origin
30	323	0.83576	0.00000	<0.00050	GO:0072507	divalent inorganic cation homeostasis
11	115	0.83547	0.00000	0.00950	GO:0033135	regulation of peptidyl-serine phosphorylation
13	136	0.83514	0.00000	0.00150	GO:0032868	response to insulin
78	969	0.83472	0.00000	<0.00050	GO:0010562	positive regulation of phosphorus metabolic process
78	969	0.83472	0.00000	<0.00050	GO:0045937	positive regulation of phosphate metabolic process
21	223	0.83294	0.00000	<0.00050	GO:0050730	regulation of peptidyl-tyrosine phosphorylation
15	158	0.83253	0.00000	0.00050	GO:0016829	lyase activity
280	12876	0.83158	0.00000	<0.00050	GO:0009987	cellular process
23	246	0.83136	0.00000	<0.00050	GO:0071363	cellular response to growth factor stimulus
68	826	0.82974	0.00000	<0.00050	GO:0001934	positive regulation of protein phosphorylation
25	270	0.82869	0.00000	<0.00050	GO:0050890	cognition
25	271	0.82690	0.00000	<0.00050	GO:0045121	membrane raft
25	271	0.82690	0.00000	<0.00050	GO:0098857	membrane microdomain
19	204	0.82590	0.00000	<0.00050	GO:0051924	regulation of calcium ion transport
10	107	0.82473	0.00001	0.02900	GO:0042542	response to hydrogen peroxide
14	150	0.82392	0.00000	0.00150	GO:0007584	response to nutrient
11	119	0.81906	0.00000	0.01000	GO:0046824	positive regulation of nucleocytoplasmic transport
38	434	0.81692	0.00000	<0.00050	GO:0071900	regulation of protein serine/threonine kinase activity
18	197	0.81591	0.00000	<0.00050	GO:0022898	regulation of transmembrane transporter activity
10	109	0.81587	0.00001	0.03400	GO:0050729	positive regulation of inflammatory response
69	865	0.81573	0.00000	<0.00050	GO:0042327	positive regulation of phosphorylation
48	565	0.81560	0.00000	<0.00050	GO:0043269	regulation of ion transport
57	691	0.81403	0.00000	<0.00050	GO:0016773	phosphotransferase activity, alcohol group as acceptor
28	314	0.81372	0.00000	<0.00050	GO:0010959	regulation of metal ion transport
25	279	0.81283	0.00000	<0.00050	GO:0070848	response to growth factor
15	165	0.81167	0.00000	0.00150	GO:0050851	antigen receptor-mediated signaling pathway
55	667	0.81094	0.00000	<0.00050	GO:0010243	response to organonitrogen compound
28	316	0.81065	0.00000	<0.00050	GO:0050727	regulation of inflammatory response
17	188	0.81022	0.00000	<0.00050	GO:1901617	organic hydroxy compound biosynthetic process
21	235	0.80764	0.00000	<0.00050	GO:0007568	aging
12	133	0.80733	0.00000	0.00300	GO:0032874	positive regulation of stress-activated MAPK cascade
11	122	0.80715	0.00001	0.01950	GO:0032355	response to estradiol
83	1110	0.80640	0.00000	<0.00050	GO:0009719	response to endogenous stimulus
40	471	0.80467	0.00000	<0.00050	GO:0007267	cell-cell signaling
23	260	0.80463	0.00000	<0.00050	GO:0002237	response to molecule of bacterial origin
20	225	0.80423	0.00000	<0.00050	GO:0043270	positive regulation of ion transport
20	225	0.80423	0.00000	<0.00050	GO:0050795	regulation of behavior
12	134	0.80375	0.00000	0.00400	GO:0070304	positive regulation of stress-activated protein kinase signaling cascade
17	191	0.80262	0.00000	<0.00050	GO:0032412	regulation of ion transmembrane transporter activity
34	396	0.80242	0.00000	<0.00050	GO:0044708	single-organism behavior
54	665	0.80199	0.00000	<0.00050	GO:0009725	response to hormone
82	1103	0.80185	0.00000	<0.00050	GO:0031226	intrinsic component of plasma membrane
13	146	0.80108	0.00000	0.00150	GO:0009266	response to temperature stimulus
13	146	0.80108	0.00000	0.00150	GO:0071216	cellular response to biotic stimulus
45	542	0.80029	0.00000	<0.00050	GO:0044700	single organism signaling
31	360	0.80026	0.00000	<0.00050	GO:0071407	cellular response to organic cyclic compound
15	169	0.80018	0.00000	0.00150	GO:0050731	positive regulation of peptidyl-tyrosine phosphorylation
10	113	0.79865	0.00002	0.04900	GO:0045598	regulation of fat cell differentiation
45	544	0.79850	0.00000	<0.00050	GO:0023052	signaling
139	2340	0.79849	0.00000	<0.00050	GO:0042221	response to chemical
57	714	0.79799	0.00000	<0.00050	GO:1901698	response to nitrogen compound
11	125	0.79554	0.00001	0.02200	GO:1990267	response to transition metal nanoparticle
21	241	0.79552	0.00000	<0.00050	GO:0032496	response to lipopolysaccharide
33	389	0.79539	0.00000	<0.00050	GO:0071417	cellular response to organonitrogen compound
57	718	0.79525	0.00000	<0.00050	GO:0033993	response to lipid
58	742	0.78913	0.00000	<0.00050	GO:1901701	cellular response to oxygen-containing compound
16	185	0.78827	0.00000	0.00050	GO:0043523	regulation of neuron apoptotic process
13	150	0.78816	0.00000	0.00250	GO:0033500	carbohydrate homeostasis
13	150	0.78816	0.00000	0.00250	GO:0042593	glucose homeostasis
13	150	0.78816	0.00000	0.00250	GO:0071248	cellular response to metal ion
77	1055	0.78451	0.00000	<0.00050	GO:0005887	integral component of plasma membrane
50	631	0.78440	0.00000	<0.00050	GO:0051347	positive regulation of transferase activity
14	164	0.78117	0.00000	0.00150	GO:0050866	negative regulation of cell activation
16	188	0.78057	0.00000	0.00100	GO:0014069	postsynaptic density
102	1535	0.78054	0.00000	<0.00050	GO:0023056	positive regulation of signaling
17	202	0.77580	0.00000	<0.00050	GO:0045211	postsynaptic membrane
16	190	0.77552	0.00000	0.00150	GO:0038093	Fc receptor signaling pathway
57	748	0.77523	0.00000	<0.00050	GO:0016301	kinase activity
17	203	0.77344	0.00000	<0.00050	GO:1901653	cellular response to peptide
53	690	0.77343	0.00000	<0.00050	GO:0045859	regulation of protein kinase activity
11	131	0.77321	0.00001	0.02900	GO:0001667	ameboidal-type cell migration
11	131	0.77321	0.00001	0.02900	GO:0009411	response to UV
15	179	0.77270	0.00000	0.00150	GO:1901654	response to ketone
14	167	0.77253	0.00000	0.00150	GO:0097164	ammonium ion metabolic process
102	1560	0.77238	0.00000	<0.00050	GO:0010647	positive regulation of cell communication
117	1899	0.77061	0.00000	<0.00050	GO:0010033	response to organic substance
34	424	0.76941	0.00000	<0.00050	GO:1901699	cellular response to nitrogen compound
24	293	0.76863	0.00000	<0.00050	GO:0032102	negative regulation of response to external stimulus
56	743	0.76843	0.00000	<0.00050	GO:0018193	peptidyl-amino acid modification
93	1389	0.76830	0.00000	<0.00050	GO:0009967	positive regulation of signal transduction
27	332	0.76825	0.00000	<0.00050	GO:1901652	response to peptide
56	744	0.76778	0.00000	<0.00050	GO:0043549	regulation of kinase activity
23	281	0.76731	0.00000	<0.00050	GO:0043235	receptor complex
256	9467	0.76710	0.00000	<0.00050	GO:0044763	single-organism cellular process
288	15324	0.76655	0.00000	<0.00050	GO:0044464	cell part
11	133	0.76602	0.00001	0.03400	GO:0009636	response to toxic substance
63	858	0.76584	0.00000	<0.00050	GO:0006468	protein phosphorylation
83	1205	0.76555	0.00000	<0.00050	GO:0038023	signaling receptor activity
31	387	0.76539	0.00000	<0.00050	GO:0006875	cellular metal ion homeostasis
21	257	0.76470	0.00000	<0.00050	GO:0097060	synaptic membrane
51	675	0.76262	0.00000	<0.00050	GO:0071495	cellular response to endogenous stimulus
15	183	0.76217	0.00000	0.00150	GO:0008016	regulation of heart contraction
15	183	0.76217	0.00000	0.00150	GO:0031330	negative regulation of cellular catabolic process
100	1553	0.76102	0.00000	<0.00050	GO:0019220	regulation of phosphate metabolic process
12	147	0.75963	0.00001	0.01950	GO:0098802	plasma membrane receptor complex
24	299	0.75892	0.00000	<0.00050	GO:0032103	positive regulation of response to external stimulus
13	160	0.75743	0.00000	0.00450	GO:0006367	transcription initiation from RNA polymerase II promoter
18	223	0.75653	0.00000	<0.00050	GO:0030258	lipid modification
100	1567	0.75649	0.00000	<0.00050	GO:0051174	regulation of phosphorus metabolic process
94	1445	0.75557	0.00000	<0.00050	GO:0004871	signal transducer activity
14	174	0.75299	0.00000	0.00150	GO:0071241	cellular response to inorganic substance
17	212	0.75275	0.00000	0.00050	GO:1900180	regulation of protein localization to nucleus
13	162	0.75153	0.00000	0.00950	GO:0042445	hormone metabolic process
21	265	0.75006	0.00000	<0.00050	GO:0042391	regulation of membrane potential
34	444	0.74722	0.00000	<0.00050	GO:0055065	metal ion homeostasis
68	977	0.74705	0.00000	<0.00050	GO:0009628	response to abiotic stimulus
24	307	0.74629	0.00000	<0.00050	GO:0002768	immune response-regulating cell surface receptor signaling pathway
14	177	0.74487	0.00000	0.00250	GO:0007626	locomotory behavior
80	1199	0.74487	0.00000	<0.00050	GO:0001932	regulation of protein phosphorylation
39	519	0.74420	0.00000	<0.00050	GO:0007610	behavior
21	269	0.74291	0.00000	<0.00050	GO:0048608	reproductive structure development
31	408	0.74001	0.00000	<0.00050	GO:0030335	positive regulation of cell migration
69	1009	0.73989	0.00000	<0.00050	GO:0046914	transition metal ion binding
14	179	0.73955	0.00000	0.00300	GO:0006275	regulation of DNA replication
34	452	0.73864	0.00000	<0.00050	GO:0010035	response to inorganic substance
14	180	0.73690	0.00000	0.00300	GO:0009612	response to mechanical stimulus
33	440	0.73606	0.00000	<0.00050	GO:0030003	cellular cation homeostasis
21	273	0.73588	0.00000	<0.00050	GO:1901214	regulation of neuron death
73	1090	0.73572	0.00000	<0.00050	GO:0031401	positive regulation of protein modification process
98	1598	0.73286	0.00000	<0.00050	GO:1902531	regulation of intracellular signal transduction
60	867	0.73249	0.00000	<0.00050	GO:0016772	transferase activity, transferring phosphorus-containing groups
29	387	0.73117	0.00000	<0.00050	GO:0015711	organic anion transport
21	276	0.73067	0.00000	<0.00050	GO:0002429	immune response-activating cell surface receptor signaling pathway
33	446	0.72957	0.00000	<0.00050	GO:0040017	positive regulation of locomotion
25	332	0.72937	0.00000	<0.00050	GO:0042578	phosphoric ester hydrolase activity
21	277	0.72895	0.00000	<0.00050	GO:0043434	response to peptide hormone
19	250	0.72857	0.00000	<0.00050	GO:0030424	axon
55	799	0.72285	0.00000	<0.00050	GO:0048878	chemical homeostasis
33	453	0.72210	0.00000	<0.00050	GO:0006873	cellular ion homeostasis
37	513	0.72202	0.00000	<0.00050	GO:0098771	inorganic ion homeostasis
31	424	0.72159	0.00000	<0.00050	GO:2000147	positive regulation of cell motility
83	1319	0.72059	0.00000	<0.00050	GO:0042325	regulation of phosphorylation
13	173	0.72043	0.00001	0.01950	GO:1903531	negative regulation of secretion by cell
61	908	0.71943	0.00000	<0.00050	GO:0051338	regulation of transferase activity
48	689	0.71921	0.00000	<0.00050	GO:0007154	cell communication
36	501	0.71903	0.00000	<0.00050	GO:0055080	cation homeostasis
90	1469	0.71869	0.00000	<0.00050	GO:0080134	regulation of response to stress
20	270	0.71713	0.00000	<0.00050	GO:0050900	leukocyte migration
12	161	0.71658	0.00001	0.04300	GO:0071375	cellular response to peptide hormone stimulus
31	431	0.71376	0.00000	<0.00050	GO:0051272	positive regulation of cellular component movement
97	1638	0.71346	0.00000	<0.00050	GO:0060089	molecular transducer activity
58	867	0.71312	0.00000	<0.00050	GO:0032101	regulation of response to external stimulus
23	315	0.71281	0.00000	<0.00050	GO:0010038	response to metal ion
86	1403	0.71236	0.00000	<0.00050	GO:0004872	receptor activity
76	1202	0.71193	0.00000	<0.00050	GO:0071310	cellular response to organic substance
26	359	0.71178	0.00000	<0.00050	GO:0071396	cellular response to lipid
55	819	0.71083	0.00000	<0.00050	GO:0008284	positive regulation of cell proliferation
12	163	0.71076	0.00002	0.04700	GO:0046890	regulation of lipid biosynthetic process
12	163	0.71076	0.00002	0.04700	GO:0048534	hematopoietic or lymphoid organ development
38	541	0.71051	0.00000	<0.00050	GO:0050801	ion homeostasis
45	653	0.71005	0.00000	<0.00050	GO:0016491	oxidoreductase activity
33	465	0.70958	0.00000	<0.00050	GO:0032787	monocarboxylic acid metabolic process
110	1960	0.70932	0.00000	<0.00050	GO:0048584	positive regulation of response to stimulus
29	406	0.70828	0.00000	<0.00050	GO:0050708	regulation of protein secretion
12	164	0.70788	0.00002	0.04900	GO:1904018	positive regulation of vasculature development
18	248	0.70606	0.00000	0.00150	GO:0001525	angiogenesis
75	1199	0.70508	0.00000	<0.00050	GO:0042592	homeostatic process
36	516	0.70489	0.00000	<0.00050	GO:0055082	cellular chemical homeostasis
13	179	0.70434	0.00001	0.02500	GO:0050662	coenzyme binding
68	1066	0.70423	0.00000	<0.00050	GO:0016310	phosphorylation
14	193	0.70394	0.00000	0.01000	GO:0051048	negative regulation of secretion
34	486	0.70387	0.00000	<0.00050	GO:1901615	organic hydroxy compound metabolic process
43	630	0.70288	0.00000	<0.00050	GO:1903530	regulation of secretion by cell
23	322	0.70237	0.00000	<0.00050	GO:0045787	positive regulation of cell cycle
191	4931	0.69919	0.00000	<0.00050	GO:0003824	catalytic activity
23	325	0.69797	0.00000	<0.00050	GO:0032870	cellular response to hormone stimulus
87	1466	0.69782	0.00000	<0.00050	GO:0070887	cellular response to chemical stimulus
14	196	0.69666	0.00000	0.01150	GO:0043393	regulation of protein binding
13	182	0.69651	0.00001	0.02900	GO:0010675	regulation of cellular carbohydrate metabolic process
19	268	0.69561	0.00000	0.00150	GO:0006935	chemotaxis
118	2227	0.69467	0.00000	<0.00050	GO:0044459	plasma membrane part
19	269	0.69385	0.00000	0.00150	GO:0042330	taxis
172	4074	0.69375	0.00000	<0.00050	GO:0044710	single-organism metabolic process
26	373	0.69358	0.00000	<0.00050	GO:0051052	regulation of DNA metabolic process
135	2726	0.69329	0.00000	<0.00050	GO:0065008	regulation of biological quality
68	1093	0.69195	0.00000	<0.00050	GO:0004888	transmembrane signaling receptor activity
45	679	0.69123	0.00000	<0.00050	GO:0051046	regulation of secretion
21	300	0.69109	0.00000	<0.00050	GO:0001101	response to acid chemical
26	376	0.68977	0.00000	<0.00050	GO:0009991	response to extracellular stimulus
81	1361	0.68970	0.00000	<0.00050	GO:0032270	positive regulation of cellular protein metabolic process
24	348	0.68662	0.00000	<0.00050	GO:0031667	response to nutrient levels
41	621	0.68442	0.00000	<0.00050	GO:0008283	cell proliferation
101	1833	0.68385	0.00000	<0.00050	GO:0006796	phosphate-containing compound metabolic process
33	491	0.68359	0.00000	<0.00050	GO:0050865	regulation of cell activation
49	762	0.68180	0.00000	<0.00050	GO:0080135	regulation of cellular response to stress
42	642	0.68125	0.00000	<0.00050	GO:0019725	cellular homeostasis
70	1159	0.68031	0.00000	<0.00050	GO:0006629	lipid metabolic process
52	822	0.67781	0.00000	<0.00050	GO:0040012	regulation of locomotion
22	324	0.67750	0.00000	<0.00050	GO:0051098	regulation of binding
84	1462	0.67686	0.00000	<0.00050	GO:0042127	regulation of cell proliferation
13	190	0.67629	0.00001	0.04700	GO:0006109	regulation of carbohydrate metabolic process
13	190	0.67629	0.00001	0.04700	GO:0043281	regulation of cysteine-type endopeptidase activity involved in apoptotic process
45	703	0.67450	0.00000	<0.00050	GO:0031347	regulation of defense response
169	4086	0.67374	0.00000	<0.00050	GO:0007165	signal transduction
26	389	0.67363	0.00000	<0.00050	GO:0034762	regulation of transmembrane transport
24	358	0.67319	0.00000	<0.00050	GO:0006954	inflammatory response
56	908	0.67084	0.00000	<0.00050	GO:0044255	cellular lipid metabolic process
15	222	0.67080	0.00000	0.01000	GO:0033267	axon part
83	1458	0.67069	0.00000	<0.00050	GO:0051247	positive regulation of protein metabolic process
92	1668	0.66922	0.00000	<0.00050	GO:0031399	regulation of protein modification process
46	730	0.66819	0.00000	<0.00050	GO:0004930	G-protein coupled receptor activity
101	1892	0.66772	0.00000	<0.00050	GO:0006793	phosphorus metabolic process
30	459	0.66704	0.00000	<0.00050	GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway
93	1703	0.66584	0.00000	<0.00050	GO:0051049	regulation of transport
35	547	0.66237	0.00000	<0.00050	GO:0019901	protein kinase binding
26	400	0.66041	0.00000	<0.00050	GO:0002764	immune response-regulating signaling pathway
50	818	0.65860	0.00000	<0.00050	GO:0043069	negative regulation of programmed cell death
14	213	0.65757	0.00001	0.03150	GO:2000116	regulation of cysteine-type endopeptidase activity
15	229	0.65621	0.00001	0.01950	GO:0050714	positive regulation of protein secretion
24	372	0.65504	0.00000	<0.00050	GO:0034765	regulation of ion transmembrane transport
21	327	0.65038	0.00000	0.00150	GO:0030425	dendrite
18	280	0.64881	0.00000	0.00150	GO:1901342	regulation of vasculature development
72	1280	0.64819	0.00000	<0.00050	GO:0060341	regulation of cellular localization
19	298	0.64556	0.00000	0.00150	GO:0050867	positive regulation of cell activation
18	282	0.64547	0.00000	0.00150	GO:0009416	response to light stimulus
64	1118	0.64546	0.00000	<0.00050	GO:0098589	membrane region
39	638	0.64513	0.00000	<0.00050	GO:0019221	cytokine-mediated signaling pathway
24	380	0.64498	0.00000	<0.00050	GO:1903829	positive regulation of cellular protein localization
116	2396	0.64389	0.00000	<0.00050	GO:0032879	regulation of localization
18	283	0.64380	0.00000	0.00150	GO:0048638	regulation of developmental growth
24	381	0.64374	0.00000	<0.00050	GO:0051047	positive regulation of secretion
48	806	0.64350	0.00000	<0.00050	GO:0043066	negative regulation of apoptotic process
45	752	0.64209	0.00000	<0.00050	GO:2000145	regulation of cell motility
16	252	0.64196	0.00000	0.01000	GO:0016042	lipid catabolic process
141	3213	0.64067	0.00000	<0.00050	GO:0023051	regulation of signaling
14	221	0.64030	0.00002	0.05000	GO:0033218	amide binding
42	700	0.63975	0.00000	<0.00050	GO:0030334	regulation of cell migration
23	368	0.63918	0.00000	<0.00050	GO:0002757	immune response-activating signal transduction
71	1284	0.63832	0.00000	<0.00050	GO:0043085	positive regulation of catalytic activity
16	254	0.63826	0.00000	0.01750	GO:0090068	positive regulation of cell cycle process
15	238	0.63814	0.00001	0.02800	GO:0048732	gland development
52	893	0.63773	0.00000	<0.00050	GO:0060548	negative regulation of cell death
46	778	0.63755	0.00000	<0.00050	GO:0070201	regulation of establishment of protein localization
45	761	0.63638	0.00000	<0.00050	GO:0008270	zinc ion binding
50	857	0.63612	0.00000	<0.00050	GO:0055114	oxidation-reduction process
18	288	0.63558	0.00000	0.00250	GO:0002696	positive regulation of leukocyte activation
28	456	0.63539	0.00000	<0.00050	GO:0002694	regulation of leukocyte activation
47	801	0.63511	0.00000	<0.00050	GO:0051270	regulation of cellular component movement
44	747	0.63329	0.00000	<0.00050	GO:0051223	regulation of protein transport
141	3262	0.63236	0.00000	<0.00050	GO:0010646	regulation of cell communication
22	357	0.63172	0.00000	0.00150	GO:0023014	signal transduction by protein phosphorylation
16	258	0.63094	0.00001	0.01950	GO:0045765	regulation of angiogenesis
83	1587	0.62836	0.00000	<0.00050	GO:0044093	positive regulation of molecular function
86	1660	0.62820	0.00000	<0.00050	GO:0044281	small molecule metabolic process
54	951	0.62812	0.00000	<0.00050	GO:0051050	positive regulation of transport
74	1379	0.62782	0.00000	<0.00050	GO:0043067	regulation of programmed cell death
53	934	0.62651	0.00000	<0.00050	GO:0098590	plasma membrane region
15	244	0.62649	0.00001	0.03550	GO:0003012	muscle system process
79	1499	0.62618	0.00000	<0.00050	GO:0010941	regulation of cell death
178	4865	0.62527	0.00000	<0.00050	GO:0050896	response to stimulus
18	295	0.62431	0.00000	0.00300	GO:0051302	regulation of cell division
22	363	0.62387	0.00000	0.00150	GO:0006066	alcohol metabolic process
27	450	0.62349	0.00000	<0.00050	GO:0051051	negative regulation of transport
20	330	0.62240	0.00000	0.00150	GO:0000165	MAPK cascade
28	469	0.62208	0.00000	<0.00050	GO:0051222	positive regulation of protein transport
32	541	0.62171	0.00000	<0.00050	GO:0008610	lipid biosynthetic process
36	617	0.61951	0.00000	<0.00050	GO:0044456	synapse part
41	712	0.61889	0.00000	<0.00050	GO:0043005	neuron projection
98	2002	0.61850	0.00000	<0.00050	GO:0007166	cell surface receptor signaling pathway
45	793	0.61659	0.00000	<0.00050	GO:0009894	regulation of catabolic process
72	1365	0.61646	0.00000	<0.00050	GO:0042981	regulation of apoptotic process
22	369	0.61616	0.00000	0.00150	GO:0045785	positive regulation of cell adhesion
21	355	0.61172	0.00000	0.00150	GO:1903532	positive regulation of secretion by cell
16	269	0.61140	0.00001	0.02850	GO:0016311	dephosphorylation
25	426	0.61121	0.00000	<0.00050	GO:0044283	small molecule biosynthetic process
36	628	0.61109	0.00000	<0.00050	GO:0019900	kinase binding
29	502	0.60749	0.00000	<0.00050	GO:0006820	anion transport
156	4007	0.60665	0.00000	<0.00050	GO:0005886	plasma membrane
43	770	0.60653	0.00000	<0.00050	GO:0044712	single-organism catabolic process
40	714	0.60460	0.00000	<0.00050	GO:0016477	cell migration
36	638	0.60357	0.00000	<0.00050	GO:0030155	regulation of cell adhesion
53	985	0.60079	0.00000	<0.00050	GO:0032880	regulation of protein localization
112	2478	0.60078	0.00000	<0.00050	GO:0051716	cellular response to stimulus
25	436	0.60028	0.00000	0.00050	GO:1902532	negative regulation of intracellular signal transduction
50	931	0.59615	0.00000	<0.00050	GO:0001775	cell activation
21	368	0.59484	0.00000	0.00150	GO:0045088	regulation of innate immune response
34	611	0.59482	0.00000	<0.00050	GO:0008289	lipid binding
191	5819	0.59435	0.00000	<0.00050	GO:0043167	ion binding
35	634	0.59210	0.00000	<0.00050	GO:0016788	hydrolase activity, acting on ester bonds
22	389	0.59137	0.00000	0.00150	GO:0046486	glycerolipid metabolic process
34	616	0.59095	0.00000	<0.00050	GO:0007167	enzyme linked receptor protein signaling pathway
73	1462	0.59073	0.00000	<0.00050	GO:0051240	positive regulation of multicellular organismal process
23	408	0.59062	0.00000	0.00150	GO:0009314	response to radiation
62	1208	0.58937	0.00000	<0.00050	GO:0010648	negative regulation of cell communication
61	1189	0.58786	0.00000	<0.00050	GO:0023057	negative regulation of signaling
21	374	0.58726	0.00000	0.00150	GO:0051090	regulation of sequence-specific DNA binding transcription factor activity
22	393	0.58656	0.00000	0.00150	GO:0031349	positive regulation of defense response
17	302	0.58608	0.00001	0.02900	GO:0031253	cell projection membrane
24	431	0.58565	0.00000	0.00150	GO:1903649	regulation of cytoplasmic transport
18	322	0.58332	0.00001	0.02150	GO:0034110	regulation of homotypic cell-cell adhesion
234	9039	0.58278	0.00000	<0.00050	GO:0008152	metabolic process
42	789	0.58245	0.00000	<0.00050	GO:0048870	cell motility
26	472	0.58226	0.00000	0.00050	GO:0034097	response to cytokine
94	2037	0.58201	0.00000	<0.00050	GO:0050790	regulation of catalytic activity
69	1402	0.57810	0.00000	<0.00050	GO:0002682	regulation of immune system process
44	840	0.57702	0.00000	<0.00050	GO:0050776	regulation of immune response
168	4766	0.57656	0.00000	<0.00050	GO:0048522	positive regulation of cellular process
18	327	0.57612	0.00001	0.02300	GO:0006650	glycerophospholipid metabolic process
40	759	0.57542	0.00000	<0.00050	GO:0042803	protein homodimerization activity
120	2863	0.57491	0.00000	<0.00050	GO:0031325	positive regulation of cellular metabolic process
115	2699	0.57490	0.00000	<0.00050	GO:0051239	regulation of multicellular organismal process
113	2638	0.57427	0.00000	<0.00050	GO:0006950	response to stress
80	1693	0.57317	0.00000	<0.00050	GO:0019899	enzyme binding
146	3831	0.57255	0.00000	<0.00050	GO:0048583	regulation of response to stimulus
248	10531	0.57199	0.00000	<0.00050	GO:0065007	biological regulation
