# of genes	# of total genes	Log of odds ratio	P-value	Adjusted p-value	GO term ID	Go term name
16	42	0.81613	0.00000	0.00050	GO:0045540	regulation of cholesterol biosynthetic process
51	135	0.81504	0.00000	<0.00050	GO:0007612	learning
28	74	0.81207	0.00000	<0.00050	GO:0048661	positive regulation of smooth muscle cell proliferation
106	287	0.81174	0.00000	<0.00050	GO:0022836	gated channel activity
14	37	0.81172	0.00000	0.00200	GO:0032371	regulation of sterol transport
14	37	0.81172	0.00000	0.00200	GO:0032374	regulation of cholesterol transport
17	45	0.81030	0.00000	0.00050	GO:0098900	regulation of action potential
20	53	0.80951	0.00000	<0.00050	GO:0006165	nucleoside diphosphate phosphorylation
12	32	0.80610	0.00001	0.02750	GO:0010574	regulation of vascular endothelial growth factor production
12	32	0.80610	0.00001	0.02750	GO:0051879	Hsp90 protein binding
12	32	0.80610	0.00001	0.02750	GO:1901381	positive regulation of potassium ion transmembrane transport
15	40	0.80543	0.00000	0.00100	GO:0006584	catecholamine metabolic process
15	40	0.80543	0.00000	0.00100	GO:0009712	catechol-containing compound metabolic process
18	48	0.80521	0.00000	<0.00050	GO:0008542	visual learning
18	48	0.80521	0.00000	<0.00050	GO:0019320	hexose catabolic process
41	110	0.80375	0.00000	<0.00050	GO:0034767	positive regulation of ion transmembrane transport
28	75	0.80280	0.00000	<0.00050	GO:0010522	regulation of calcium ion transport into cytosol
28	75	0.80280	0.00000	<0.00050	GO:0071260	cellular response to mechanical stimulus
19	51	0.80071	0.00000	<0.00050	GO:0046928	regulation of neurotransmitter secretion
43	116	0.80034	0.00000	<0.00050	GO:0034764	positive regulation of transmembrane transport
29	78	0.80009	0.00000	<0.00050	GO:1902930	regulation of alcohol biosynthetic process
16	43	0.80001	0.00000	0.00050	GO:0009409	response to cold
16	43	0.80001	0.00000	0.00050	GO:0060048	cardiac muscle contraction
13	35	0.79932	0.00000	0.01050	GO:2000649	regulation of sodium ion transmembrane transporter activity
33	89	0.79879	0.00000	<0.00050	GO:0001523	retinoid metabolic process
20	54	0.79671	0.00000	<0.00050	GO:0018107	peptidyl-threonine phosphorylation
17	46	0.79530	0.00000	0.00050	GO:0043491	protein kinase B signaling
17	46	0.79530	0.00000	0.00050	GO:0090303	positive regulation of wound healing
14	38	0.79359	0.00000	0.00350	GO:0008328	ionotropic glutamate receptor complex
18	49	0.79117	0.00000	0.00050	GO:0043536	positive regulation of blood vessel endothelial cell migration
22	60	0.78995	0.00000	<0.00050	GO:0016835	carbon-oxygen lyase activity
22	60	0.78995	0.00000	<0.00050	GO:0046939	nucleotide phosphorylation
26	71	0.78938	0.00000	<0.00050	GO:0008306	associative learning
43	118	0.78863	0.00000	<0.00050	GO:0048660	regulation of smooth muscle cell proliferation
84	234	0.78705	0.00000	<0.00050	GO:0007611	learning or memory
66	183	0.78624	0.00000	<0.00050	GO:0008016	regulation of heart contraction
12	33	0.78539	0.00001	0.04050	GO:0010907	positive regulation of glucose metabolic process
24	66	0.78445	0.00000	<0.00050	GO:0005249	voltage-gated potassium channel activity
24	66	0.78445	0.00000	<0.00050	GO:0015908	fatty acid transport
24	66	0.78445	0.00000	<0.00050	GO:1901379	regulation of potassium ion transmembrane transport
47	130	0.78400	0.00000	<0.00050	GO:0016614	oxidoreductase activity, acting on CH-OH group of donors
21	58	0.78138	0.00000	<0.00050	GO:0009135	purine nucleoside diphosphate metabolic process
21	58	0.78138	0.00000	<0.00050	GO:0009179	purine ribonucleoside diphosphate metabolic process
13	36	0.78041	0.00001	0.01850	GO:0046456	icosanoid biosynthetic process
13	36	0.78041	0.00001	0.01850	GO:1901570	fatty acid derivative biosynthetic process
79	222	0.77999	0.00000	<0.00050	GO:1903522	regulation of blood circulation
26	72	0.77991	0.00000	<0.00050	GO:0048010	vascular endothelial growth factor receptor signaling pathway
80	225	0.77964	0.00000	<0.00050	GO:0043270	positive regulation of ion transport
27	75	0.77794	0.00000	<0.00050	GO:0042060	wound healing
18	50	0.77757	0.00000	0.00050	GO:0048146	positive regulation of fibroblast proliferation
23	64	0.77644	0.00000	<0.00050	GO:0005901	caveola
19	53	0.77472	0.00000	<0.00050	GO:0090181	regulation of cholesterol metabolic process
24	67	0.77432	0.00000	<0.00050	GO:0006942	regulation of striated muscle contraction
24	67	0.77432	0.00000	<0.00050	GO:0042562	hormone binding
24	67	0.77432	0.00000	<0.00050	GO:0044306	neuron projection terminus
54	152	0.77353	0.00000	<0.00050	GO:0031960	response to corticosteroid
15	42	0.77259	0.00000	0.00200	GO:0007595	lactation
15	42	0.77259	0.00000	0.00200	GO:0016684	oxidoreductase activity, acting on peroxide as acceptor
89	254	0.77179	0.00000	<0.00050	GO:0001666	response to hypoxia
43	121	0.77163	0.00000	<0.00050	GO:0006720	isoprenoid metabolic process
38	107	0.77032	0.00000	<0.00050	GO:0042542	response to hydrogen peroxide
21	59	0.76993	0.00000	<0.00050	GO:1903524	positive regulation of blood circulation
63	179	0.76908	0.00000	<0.00050	GO:2000021	regulation of ion homeostasis
33	93	0.76898	0.00000	<0.00050	GO:0097285	cell-type specific apoptotic process
22	62	0.76790	0.00000	<0.00050	GO:0050805	negative regulation of synaptic transmission
50	142	0.76675	0.00000	<0.00050	GO:0014074	response to purine-containing compound
29	82	0.76624	0.00000	<0.00050	GO:0019842	vitamin binding
23	65	0.76608	0.00000	<0.00050	GO:0019674	NAD metabolic process
18	51	0.76438	0.00000	0.00050	GO:0042446	hormone biosynthetic process
127	372	0.76319	0.00000	<0.00050	GO:0034765	regulation of ion transmembrane transport
25	71	0.76293	0.00000	<0.00050	GO:1903426	regulation of reactive oxygen species biosynthetic process
13	37	0.76229	0.00001	0.02700	GO:1900449	regulation of glutamate receptor signaling pathway
33	94	0.76184	0.00000	<0.00050	GO:0051591	response to cAMP
26	74	0.76157	0.00000	<0.00050	GO:0018958	phenol-containing compound metabolic process
20	57	0.76042	0.00000	<0.00050	GO:0042734	presynaptic membrane
132	389	0.76034	0.00000	<0.00050	GO:0034762	regulation of transmembrane transport
27	77	0.76033	0.00000	<0.00050	GO:0032414	positive regulation of ion transmembrane transporter activity
14	40	0.75946	0.00000	0.01000	GO:0010524	positive regulation of calcium ion transport into cytosol
14	40	0.75946	0.00000	0.01000	GO:0045933	positive regulation of muscle contraction
14	40	0.75946	0.00000	0.01000	GO:0055025	positive regulation of cardiac muscle tissue development
28	80	0.75920	0.00000	<0.00050	GO:1902476	chloride transmembrane transport
28	80	0.75920	0.00000	<0.00050	GO:1904064	positive regulation of cation transmembrane transport
21	60	0.75877	0.00000	<0.00050	GO:0009185	ribonucleoside diphosphate metabolic process
29	83	0.75817	0.00000	<0.00050	GO:0033273	response to vitamin
30	86	0.75722	0.00000	<0.00050	GO:0009755	hormone-mediated signaling pathway
218	667	0.75677	0.00000	<0.00050	GO:0010243	response to organonitrogen compound
52	150	0.75673	0.00000	<0.00050	GO:0007584	response to nutrient
90	263	0.75619	0.00000	<0.00050	GO:0036293	response to decreased oxygen levels
23	66	0.75595	0.00000	<0.00050	GO:1903779	regulation of cardiac conduction
112	330	0.75574	0.00000	<0.00050	GO:0097305	response to alcohol
56	162	0.75562	0.00000	<0.00050	GO:0042445	hormone metabolic process
16	46	0.75497	0.00000	0.00100	GO:1902305	regulation of sodium ion transmembrane transport
47	136	0.75371	0.00000	<0.00050	GO:0051384	response to glucocorticoid
72	210	0.75350	0.00000	<0.00050	GO:0032409	regulation of transporter activity
35	101	0.75350	0.00000	<0.00050	GO:0033559	unsaturated fatty acid metabolic process
17	49	0.75316	0.00000	0.00050	GO:0051349	positive regulation of lyase activity
18	52	0.75158	0.00000	0.00050	GO:0001540	beta-amyloid binding
39	113	0.75144	0.00000	<0.00050	GO:0071804	cellular potassium ion transport
39	113	0.75144	0.00000	<0.00050	GO:0071805	potassium ion transmembrane transport
69	202	0.75039	0.00000	<0.00050	GO:0045211	postsynaptic membrane
19	55	0.75019	0.00000	0.00050	GO:0051287	NAD binding
185	565	0.74962	0.00000	<0.00050	GO:0043269	regulation of ion transport
93	275	0.74902	0.00000	<0.00050	GO:0050804	modulation of synaptic transmission
20	58	0.74897	0.00000	<0.00050	GO:0014823	response to activity
21	61	0.74788	0.00000	<0.00050	GO:0044291	cell-cell contact zone
61	179	0.74717	0.00000	<0.00050	GO:1901654	response to ketone
67	197	0.74709	0.00000	<0.00050	GO:0022898	regulation of transmembrane transporter activity
23	67	0.74605	0.00000	<0.00050	GO:0002028	regulation of sodium ion transport
39	114	0.74562	0.00000	<0.00050	GO:0044325	ion channel binding
13	38	0.74488	0.00001	0.03800	GO:0006953	acute-phase response
13	38	0.74488	0.00001	0.03800	GO:0045762	positive regulation of adenylate cyclase activity
43	126	0.74468	0.00000	<0.00050	GO:0046683	response to organophosphorus
28	82	0.74291	0.00000	<0.00050	GO:0050810	regulation of steroid biosynthetic process
29	85	0.74246	0.00000	<0.00050	GO:0032411	positive regulation of transporter activity
34	100	0.74081	0.00000	<0.00050	GO:0072593	reactive oxygen species metabolic process
96	288	0.74017	0.00000	<0.00050	GO:0070482	response to oxygen levels
18	53	0.73915	0.00000	0.00050	GO:0007632	visual behavior
90	270	0.73883	0.00000	<0.00050	GO:0050890	cognition
19	56	0.73843	0.00000	0.00050	GO:0050994	regulation of lipid catabolic process
20	59	0.73781	0.00000	<0.00050	GO:0032943	mononuclear cell proliferation
22	65	0.73679	0.00000	<0.00050	GO:0048029	monosaccharide binding
64	191	0.73668	0.00000	<0.00050	GO:0032412	regulation of ion transmembrane transporter activity
90	271	0.73641	0.00000	<0.00050	GO:0045121	membrane raft
90	271	0.73641	0.00000	<0.00050	GO:0098857	membrane microdomain
26	77	0.73543	0.00000	<0.00050	GO:1901216	positive regulation of neuron death
74	222	0.73535	0.00000	<0.00050	GO:0007268	synaptic transmission
27	80	0.73519	0.00000	<0.00050	GO:0006836	neurotransmitter transport
28	83	0.73499	0.00000	<0.00050	GO:0097191	extrinsic apoptotic signaling pathway
30	89	0.73467	0.00000	<0.00050	GO:0032368	regulation of lipid transport
40	119	0.73423	0.00000	<0.00050	GO:0043271	negative regulation of ion transport
36	107	0.73423	0.00000	<0.00050	GO:0034614	cellular response to reactive oxygen species
85	257	0.73261	0.00000	<0.00050	GO:0097060	synaptic membrane
61	184	0.72909	0.00000	<0.00050	GO:0043627	response to estrogen
117	360	0.72838	0.00000	<0.00050	GO:0071407	cellular response to organic cyclic compound
126	389	0.72827	0.00000	<0.00050	GO:0071417	cellular response to organonitrogen compound
223	714	0.72825	0.00000	<0.00050	GO:1901698	response to nitrogen compound
14	42	0.72781	0.00001	0.02450	GO:0006094	gluconeogenesis
14	42	0.72781	0.00001	0.02450	GO:0009066	aspartate family amino acid metabolic process
14	42	0.72781	0.00001	0.02450	GO:0051209	release of sequestered calcium ion into cytosol
14	42	0.72781	0.00001	0.02450	GO:0051283	negative regulation of sequestering of calcium ion
33	99	0.72776	0.00000	<0.00050	GO:0019722	calcium-mediated signaling
15	45	0.72754	0.00000	0.00650	GO:0019319	hexose biosynthetic process
15	45	0.72754	0.00000	0.00650	GO:0071347	cellular response to interleukin-1
15	45	0.72754	0.00000	0.00650	GO:2001259	positive regulation of cation channel activity
16	48	0.72733	0.00000	0.00250	GO:0009187	cyclic nucleotide metabolic process
19	57	0.72697	0.00000	0.00050	GO:0046651	lymphocyte proliferation
21	63	0.72690	0.00000	<0.00050	GO:0010676	positive regulation of cellular carbohydrate metabolic process
21	63	0.72690	0.00000	<0.00050	GO:0030594	neurotransmitter receptor activity
146	457	0.72401	0.00000	<0.00050	GO:0098797	plasma membrane protein complex
40	121	0.72339	0.00000	<0.00050	GO:1904813	ficolin-1-rich granule lumen
117	363	0.72299	0.00000	<0.00050	GO:0005216	ion channel activity
52	158	0.72260	0.00000	<0.00050	GO:2000377	regulation of reactive oxygen species metabolic process
37	112	0.72250	0.00000	<0.00050	GO:0071383	cellular response to steroid hormone stimulus
120	373	0.72247	0.00000	<0.00050	GO:0022838	substrate-specific channel activity
29	88	0.71992	0.00000	<0.00050	GO:0006690	icosanoid metabolic process
29	88	0.71992	0.00000	<0.00050	GO:1901568	fatty acid derivative metabolic process
40	122	0.71807	0.00000	<0.00050	GO:0032355	response to estradiol
23	70	0.71764	0.00000	<0.00050	GO:0031279	regulation of cyclase activity
126	396	0.71670	0.00000	<0.00050	GO:0044708	single-organism behavior
20	61	0.71630	0.00000	0.00050	GO:0018210	peptidyl-threonine modification
35	107	0.71583	0.00000	<0.00050	GO:0045981	positive regulation of nucleotide metabolic process
35	107	0.71583	0.00000	<0.00050	GO:1900544	positive regulation of purine nucleotide metabolic process
34	104	0.71534	0.00000	<0.00050	GO:0016247	channel regulator activity
18	55	0.71529	0.00000	0.00050	GO:0046365	monosaccharide catabolic process
17	52	0.71474	0.00000	0.00150	GO:0007269	neurotransmitter secretion
17	52	0.71474	0.00000	0.00150	GO:0032370	positive regulation of lipid transport
41	126	0.71335	0.00000	<0.00050	GO:0045834	positive regulation of lipid metabolic process
14	43	0.71281	0.00001	0.03150	GO:0019748	secondary metabolic process
14	43	0.71281	0.00001	0.03150	GO:0051282	regulation of sequestering of calcium ion
14	43	0.71281	0.00001	0.03150	GO:0070849	response to epidermal growth factor
114	359	0.71267	0.00000	<0.00050	GO:0048545	response to steroid hormone
29	89	0.71265	0.00000	<0.00050	GO:0035725	sodium ion transmembrane transport
125	396	0.71133	0.00000	<0.00050	GO:0015267	channel activity
26	80	0.71076	0.00000	<0.00050	GO:0043255	regulation of carbohydrate biosynthetic process
26	80	0.71076	0.00000	<0.00050	GO:0048145	regulation of fibroblast proliferation
35	108	0.70985	0.00000	<0.00050	GO:0006006	glucose metabolic process
125	397	0.70971	0.00000	<0.00050	GO:0022803	passive transmembrane transporter activity
225	746	0.70622	0.00000	<0.00050	GO:0014070	response to organic cyclic compound
20	62	0.70594	0.00000	0.00050	GO:0045844	positive regulation of striated muscle tissue development
20	62	0.70594	0.00000	0.00050	GO:0048636	positive regulation of muscle organ development
19	59	0.70493	0.00000	0.00050	GO:1903201	regulation of oxidative stress-induced cell death
28	87	0.70466	0.00000	<0.00050	GO:0001676	long-chain fatty acid metabolic process
60	188	0.70432	0.00000	<0.00050	GO:0014069	postsynaptic density
42	131	0.70401	0.00000	<0.00050	GO:0006937	regulation of muscle contraction
18	56	0.70384	0.00000	0.00100	GO:0048017	inositol lipid-mediated signaling
17	53	0.70265	0.00000	0.00250	GO:0006940	regulation of smooth muscle contraction
17	53	0.70265	0.00000	0.00250	GO:0015909	long-chain fatty acid transport
17	53	0.70265	0.00000	0.00250	GO:0071560	cellular response to transforming growth factor beta stimulus
33	103	0.70229	0.00000	<0.00050	GO:0031072	heat shock protein binding
32	100	0.70140	0.00000	<0.00050	GO:0051928	positive regulation of calcium ion transport
16	50	0.70134	0.00000	0.00650	GO:0046364	monosaccharide biosynthetic process
16	50	0.70134	0.00000	0.00650	GO:1903078	positive regulation of protein localization to plasma membrane
24	75	0.70080	0.00000	<0.00050	GO:0046717	acid secretion
15	47	0.69991	0.00001	0.02100	GO:0004702	receptor signaling protein serine/threonine kinase activity
15	47	0.69991	0.00001	0.02100	GO:0006636	unsaturated fatty acid biosynthetic process
42	132	0.69915	0.00000	<0.00050	GO:0030534	adult behavior
131	424	0.69896	0.00000	<0.00050	GO:1901699	cellular response to nitrogen compound
14	44	0.69830	0.00001	0.04650	GO:0071391	cellular response to estrogen stimulus
41	129	0.69829	0.00000	<0.00050	GO:0050803	regulation of synapse structure or activity
98	314	0.69800	0.00000	<0.00050	GO:0010959	regulation of metal ion transport
21	66	0.69719	0.00000	0.00050	GO:0007193	adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway
186	617	0.69627	0.00000	<0.00050	GO:0044456	synapse part
33	104	0.69614	0.00000	<0.00050	GO:0071456	cellular response to hypoxia
20	63	0.69581	0.00000	0.00050	GO:0006081	cellular aldehyde metabolic process
20	63	0.69581	0.00000	0.00050	GO:0006090	pyruvate metabolic process
20	63	0.69581	0.00000	0.00050	GO:1901863	positive regulation of muscle tissue development
26	82	0.69506	0.00000	<0.00050	GO:1901655	cellular response to ketone
56	178	0.69441	0.00000	<0.00050	GO:1904062	regulation of cation transmembrane transport
19	60	0.69431	0.00000	0.00050	GO:0002526	acute inflammatory response
64	204	0.69417	0.00000	<0.00050	GO:0051924	regulation of calcium ion transport
25	79	0.69378	0.00000	<0.00050	GO:1903169	regulation of calcium ion transmembrane transport
46	146	0.69356	0.00000	<0.00050	GO:0009266	response to temperature stimulus
18	57	0.69267	0.00000	0.00100	GO:0010517	regulation of phospholipase activity
18	57	0.69267	0.00000	0.00100	GO:0048857	neural nucleus development
24	76	0.69242	0.00000	<0.00050	GO:0045913	positive regulation of carbohydrate metabolic process
39	124	0.69134	0.00000	<0.00050	GO:0020037	heme binding
22	70	0.68941	0.00000	<0.00050	GO:0030810	positive regulation of nucleotide biosynthetic process
22	70	0.68941	0.00000	<0.00050	GO:1900373	positive regulation of purine nucleotide biosynthetic process
16	51	0.68891	0.00000	0.01050	GO:0007200	phospholipase C-activating G-protein coupled receptor signaling pathway
16	51	0.68891	0.00000	0.01050	GO:0071320	cellular response to cAMP
27	86	0.68887	0.00000	<0.00050	GO:0010595	positive regulation of endothelial cell migration
40	128	0.68742	0.00000	<0.00050	GO:0048167	regulation of synaptic plasticity
26	83	0.68741	0.00000	<0.00050	GO:0003018	vascular process in circulatory system
52	167	0.68714	0.00000	<0.00050	GO:0097164	ammonium ion metabolic process
48	154	0.68706	0.00000	<0.00050	GO:0019932	second-messenger-mediated signaling
15	48	0.68672	0.00001	0.02850	GO:0048260	positive regulation of receptor-mediated endocytosis
39	125	0.68626	0.00000	<0.00050	GO:1990267	response to transition metal nanoparticle
43	138	0.68605	0.00000	<0.00050	GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
25	80	0.68586	0.00000	<0.00050	GO:0043535	regulation of blood vessel endothelial cell migration
70	227	0.68445	0.00000	<0.00050	GO:0005261	cation channel activity
19	61	0.68394	0.00000	0.00100	GO:0005254	chloride channel activity
19	61	0.68394	0.00000	0.00100	GO:0033293	monocarboxylic acid binding
136	452	0.68328	0.00000	<0.00050	GO:0010035	response to inorganic substance
32	103	0.68271	0.00000	<0.00050	GO:0098661	inorganic anion transmembrane transport
74	241	0.68256	0.00000	<0.00050	GO:0032496	response to lipopolysaccharide
23	74	0.68242	0.00000	<0.00050	GO:1901019	regulation of calcium ion transmembrane transporter activity
46	149	0.68070	0.00000	<0.00050	GO:0006813	potassium ion transport
22	71	0.68052	0.00000	0.00050	GO:1900407	regulation of cellular response to oxidative stress
50	163	0.67734	0.00000	<0.00050	GO:0046890	regulation of lipid biosynthetic process
309	1110	0.67691	0.00000	<0.00050	GO:0009719	response to endogenous stimulus
16	52	0.67682	0.00001	0.01800	GO:0032722	positive regulation of chemokine production
101	335	0.67674	0.00000	<0.00050	GO:0006979	response to oxidative stress
28	91	0.67630	0.00000	<0.00050	GO:0006821	chloride transport
24	78	0.67613	0.00000	<0.00050	GO:0002431	Fc receptor mediated stimulatory signaling pathway
24	78	0.67613	0.00000	<0.00050	GO:0009132	nucleoside diphosphate metabolic process
55	180	0.67579	0.00000	<0.00050	GO:0009612	response to mechanical stimulus
15	49	0.67392	0.00001	0.03850	GO:0010660	regulation of muscle cell apoptotic process
15	49	0.67392	0.00001	0.03850	GO:0035176	social behavior
15	49	0.67392	0.00001	0.03850	GO:0051703	intraspecies interaction between organisms
15	49	0.67392	0.00001	0.03850	GO:0055021	regulation of cardiac muscle tissue growth
19	62	0.67381	0.00000	0.00100	GO:0030804	positive regulation of cyclic nucleotide biosynthetic process
19	62	0.67381	0.00000	0.00100	GO:0046888	negative regulation of hormone secretion
22	72	0.67180	0.00000	0.00050	GO:1902911	protein kinase complex
195	675	0.67149	0.00000	<0.00050	GO:0071495	cellular response to endogenous stimulus
18	59	0.67117	0.00000	0.00250	GO:1901607	alpha-amino acid biosynthetic process
35	115	0.67016	0.00000	<0.00050	GO:0034612	response to tumor necrosis factor
28	92	0.66949	0.00000	<0.00050	GO:0006633	fatty acid biosynthetic process
99	332	0.66940	0.00000	<0.00050	GO:1901652	response to peptide
94	315	0.66879	0.00000	<0.00050	GO:0010038	response to metal ion
34	112	0.66845	0.00000	<0.00050	GO:0015079	potassium ion transmembrane transporter activity
46	152	0.66822	0.00000	<0.00050	GO:0005506	iron ion binding
20	66	0.66677	0.00000	0.00050	GO:0048771	tissue remodeling
20	66	0.66677	0.00000	0.00050	GO:0070661	leukocyte proliferation
26	86	0.66524	0.00000	<0.00050	GO:0009408	response to heat
16	53	0.66505	0.00001	0.02300	GO:0016627	oxidoreductase activity, acting on the CH-CH group of donors
16	53	0.66505	0.00001	0.02300	GO:0048015	phosphatidylinositol-mediated signaling
41	136	0.66505	0.00000	<0.00050	GO:0007188	adenylate cyclase-modulating G-protein coupled receptor signaling pathway
72	241	0.66496	0.00000	<0.00050	GO:0042493	response to drug
29	96	0.66492	0.00000	<0.00050	GO:0005267	potassium channel activity
59	197	0.66399	0.00000	<0.00050	GO:0031406	carboxylic acid binding
22	73	0.66326	0.00000	0.00050	GO:0006941	striated muscle contraction
53	177	0.66279	0.00000	<0.00050	GO:0007626	locomotory behavior
28	93	0.66278	0.00000	<0.00050	GO:0071356	cellular response to tumor necrosis factor
59	198	0.66084	0.00000	<0.00050	GO:0043177	organic acid binding
27	90	0.66051	0.00000	<0.00050	GO:0005262	calcium channel activity
24	80	0.66042	0.00000	<0.00050	GO:0038094	Fc-gamma receptor signaling pathway
24	80	0.66042	0.00000	<0.00050	GO:1902882	regulation of response to oxidative stress
32	107	0.65896	0.00000	<0.00050	GO:0019218	regulation of steroid metabolic process
32	107	0.65896	0.00000	<0.00050	GO:0030168	platelet activation
32	107	0.65896	0.00000	<0.00050	GO:0031638	zymogen activation
26	87	0.65810	0.00000	<0.00050	GO:0097202	activation of cysteine-type endopeptidase activity
23	77	0.65775	0.00000	0.00050	GO:0002433	immune response-regulating cell surface receptor signaling pathway involved in phagocytosis
23	77	0.65775	0.00000	0.00050	GO:0030801	positive regulation of cyclic nucleotide metabolic process
23	77	0.65775	0.00000	0.00050	GO:0031100	organ regeneration
23	77	0.65775	0.00000	0.00050	GO:0038096	Fc-gamma receptor signaling pathway involved in phagocytosis
20	67	0.65750	0.00000	0.00100	GO:0007589	body fluid secretion
34	114	0.65747	0.00000	<0.00050	GO:0030799	regulation of cyclic nucleotide metabolic process
17	57	0.65738	0.00000	0.01200	GO:0045669	positive regulation of osteoblast differentiation
17	57	0.65738	0.00000	0.01200	GO:0045761	regulation of adenylate cyclase activity
17	57	0.65738	0.00000	0.01200	GO:0071384	cellular response to corticosteroid stimulus
129	446	0.65694	0.00000	<0.00050	GO:0044057	regulation of system process
31	104	0.65682	0.00000	<0.00050	GO:0001889	liver development
53	179	0.65581	0.00000	<0.00050	GO:0050662	coenzyme binding
25	84	0.65553	0.00000	<0.00050	GO:0033138	positive regulation of peptidyl-serine phosphorylation
33	111	0.65540	0.00000	<0.00050	GO:0036294	cellular response to decreased oxygen levels
22	74	0.65488	0.00000	0.00050	GO:0070555	response to interleukin-1
16	54	0.65360	0.00001	0.02900	GO:0060420	regulation of heart growth
16	54	0.65360	0.00001	0.02900	GO:1903670	regulation of sprouting angiogenesis
16	54	0.65360	0.00001	0.02900	GO:1904724	tertiary granule lumen
81	277	0.65345	0.00000	<0.00050	GO:0043434	response to peptide hormone
76	260	0.65221	0.00000	<0.00050	GO:0002237	response to molecule of bacterial origin
34	115	0.65208	0.00000	<0.00050	GO:0033135	regulation of peptidyl-serine phosphorylation
21	71	0.65178	0.00000	0.00050	GO:0051339	regulation of lyase activity
65	222	0.65108	0.00000	<0.00050	GO:0033267	axon part
325	1225	0.65092	0.00000	<0.00050	GO:1901700	response to oxygen-containing compound
18	61	0.65068	0.00000	0.00450	GO:0043195	terminal bouton
18	61	0.65068	0.00000	0.00450	GO:0060998	regulation of dendritic spine development
18	61	0.65068	0.00000	0.00450	GO:0071559	response to transforming growth factor beta
54	184	0.65051	0.00000	<0.00050	GO:0090257	regulation of muscle system process
23	78	0.64983	0.00000	0.00050	GO:0045833	negative regulation of lipid metabolic process
28	95	0.64967	0.00000	<0.00050	GO:0030808	regulation of nucleotide biosynthetic process
28	95	0.64967	0.00000	<0.00050	GO:1900371	regulation of purine nucleotide biosynthetic process
71	244	0.64841	0.00000	<0.00050	GO:0008202	steroid metabolic process
25	85	0.64826	0.00000	<0.00050	GO:0030802	regulation of cyclic nucleotide biosynthetic process
54	185	0.64717	0.00000	<0.00050	GO:0034599	cellular response to oxidative stress
17	58	0.64676	0.00001	0.01850	GO:0032941	secretion by tissue
34	116	0.64676	0.00000	<0.00050	GO:0061041	regulation of wound healing
59	203	0.64542	0.00000	<0.00050	GO:1901653	cellular response to peptide
19	65	0.64477	0.00000	0.00250	GO:0016209	antioxidant activity
81	281	0.64459	0.00000	<0.00050	GO:0043235	receptor complex
146	519	0.64353	0.00000	<0.00050	GO:0007610	behavior
37	127	0.64340	0.00000	<0.00050	GO:0071453	cellular response to oxygen levels
39	134	0.64304	0.00000	<0.00050	GO:0046906	tetrapyrrole binding
137	486	0.64279	0.00000	<0.00050	GO:1901615	organic hydroxy compound metabolic process
16	55	0.64244	0.00001	0.04300	GO:0048565	digestive tract development
16	55	0.64244	0.00001	0.04300	GO:1904377	positive regulation of protein localization to cell periphery
23	79	0.64205	0.00000	0.00050	GO:0006919	activation of cysteine-type endopeptidase activity involved in apoptotic process
80	279	0.64114	0.00000	<0.00050	GO:0070848	response to growth factor
38	131	0.64087	0.00000	<0.00050	GO:0043524	negative regulation of neuron apoptotic process
27	93	0.64038	0.00000	<0.00050	GO:0003014	renal system process
20	69	0.63954	0.00000	0.00150	GO:0032642	regulation of chemokine production
35	121	0.63878	0.00000	<0.00050	GO:0045807	positive regulation of endocytosis
22	76	0.63859	0.00000	0.00050	GO:0008021	synaptic vesicle
22	76	0.63859	0.00000	0.00050	GO:0015108	chloride transmembrane transporter activity
22	76	0.63859	0.00000	0.00050	GO:0051289	protein homotetramerization
69	241	0.63806	0.00000	<0.00050	GO:0048037	cofactor binding
28	97	0.63693	0.00000	<0.00050	GO:0001936	regulation of endothelial cell proliferation
48	167	0.63670	0.00000	<0.00050	GO:0050796	regulation of insulin secretion
196	718	0.63649	0.00000	<0.00050	GO:0033993	response to lipid
17	59	0.63639	0.00001	0.02450	GO:0009166	nucleotide catabolic process
17	59	0.63639	0.00001	0.02450	GO:0021766	hippocampus development
17	59	0.63639	0.00001	0.02450	GO:0030816	positive regulation of cAMP metabolic process
17	59	0.63639	0.00001	0.02450	GO:0070301	cellular response to hydrogen peroxide
36	125	0.63624	0.00000	<0.00050	GO:0010634	positive regulation of epithelial cell migration
53	185	0.63553	0.00000	<0.00050	GO:0043523	regulation of neuron apoptotic process
23	80	0.63440	0.00000	0.00050	GO:0050673	epithelial cell proliferation
43	150	0.63433	0.00000	<0.00050	GO:0071248	cellular response to metal ion
41	143	0.63414	0.00000	<0.00050	GO:0019318	hexose metabolic process
68	239	0.63403	0.00000	<0.00050	GO:0010817	regulation of hormone levels
33	115	0.63371	0.00000	<0.00050	GO:0071222	cellular response to lipopolysaccharide
71	250	0.63349	0.00000	<0.00050	GO:0030424	axon
193	712	0.63146	0.00000	<0.00050	GO:0043005	neuron projection
18	63	0.63110	0.00000	0.01250	GO:0061035	regulation of cartilage development
20	70	0.63082	0.00000	0.00250	GO:0031644	regulation of neurological system process
45	158	0.63066	0.00000	<0.00050	GO:0007187	G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger
24	84	0.63061	0.00000	0.00050	GO:1990748	cellular detoxification
77	273	0.63045	0.00000	<0.00050	GO:1901214	regulation of neuron death
